XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
215386.66561844,2509436.65263832,197,195,99,43.6930837992673
215386.66561844,2509436.65263832,197,193,100,63.3673463234448
215386.66561844,2509436.65263832,197,210,106,110.913331881323
215331.58774000,2509438.79899772,202,186,101,3536.6867550568
215331.58774000,2509438.79899772,202,195,102,12.4601867230841
215331.58774000,2509438.79899772,202,214,107,8.70749300180258
215347.46870939,2509442.14899867,205,195,103,9.32759696064895
215347.46870939,2509442.14899867,205,208,104,38.8467191932455
215347.46870939,2509442.14899867,205,214,108,12.5029847242275
215347.46870939,2509442.14899867,205,217,109,38.3201715053951
215386.25356315,2509444.34050745,208,205,104,38.8467191932455
215386.25356315,2509444.34050745,208,210,105,110.955688661431
215386.25356315,2509444.34050745,208,217,110,38.1684990493305
215497.19621946,2509445.85203017,210,208,105,110.955688661431
215497.19621946,2509445.85203017,210,197,106,110.913331881323
215497.19621946,2509445.85203017,210,256,128,20212.0663794492
215335.73146340,2509446.45732592,214,202,107,8.70749300180258
215335.73146340,2509446.45732592,214,205,108,12.5029847242275
215335.73146340,2509446.45732592,214,232,116,3170.55489478184
215365.59323829,2509475.91195168,217,205,109,38.3201715053951
215365.59323829,2509475.91195168,217,208,110,38.1684990493305
215365.59323829,2509475.91195168,217,229,115,3132.21471110023
220143.03339863,2510341.44623064,221,222,111,314.580826692749
219847.02004107,2510395.37371898,222,221,111,314.580826692749
220484.99239985,2510818.27906202,223,224,112,928.465126181071
220484.99239985,2510818.27906202,223,225,113,17.3783331385301
220696.69374957,2509967.23402236,224,223,112,928.465126181071
220495.18434030,2510832.35495675,225,223,113,17.3783331385301
220495.18434030,2510832.35495675,225,227,114,524.180406825674
220495.18434030,2510832.35495675,225,335,168,4649.80818608652
220987.20433008,2511004.88290255,227,225,114,524.180406825674
216249.58133350,2512381.81081031,229,217,115,3132.21471110023
216249.58133350,2512381.81081031,229,232,117,12.5383854517737
216249.58133350,2512381.81081031,229,247,124,1925.50570232611
216237.82676968,2512386.17444859,232,214,116,3170.55489478184
216237.82676968,2512386.17444859,232,229,117,12.5383854517737
216237.82676968,2512386.17444859,232,238,119,75.4341458419515
216237.82676968,2512386.17444859,232,250,125,1930.84555417217
244570.93707995,2512398.29756260,235,236,118,6252.62172646329
244570.93707995,2512398.29756260,235,240,120,414.697464779136
244570.93707995,2512398.29756260,235,240,121,416.599018288
244570.93707995,2512398.29756260,235,246,123,3307.96190114733
247188.70991448,2507640.70414319,236,235,118,6252.62172646329
216163.57363928,2512399.47042172,238,232,119,75.4341458419515
244979.46661900,2512469.37181376,240,235,120,414.697464779136
244979.46661900,2512469.37181376,240,235,121,416.599018288
244979.46661900,2512469.37181376,240,244,18048,190.409466660739
246036.76747615,2512514.98520723,243,244,122,877.957600693425
245165.19363477,2512511.33895097,244,243,122,877.957600693425
245165.19363477,2512511.33895097,244,240,18048,190.409466660739
241564.79688381,2513742.57078528,246,235,123,3307.96190114733
241564.79688381,2513742.57078528,246,253,18049,16.5427891744256
217561.34907251,2513790.44697386,247,229,124,1925.50570232611
217561.34907251,2513790.44697386,247,352,18050,38.1606779926049
217552.84064568,2513799.03840327,250,232,125,1930.84555417217
217552.84064568,2513799.03840327,250,355,18051,37.3763951344743
247905.06040610,2513489.62154900,251,252,126,615.436791690487
247995.72037289,2514096.65461526,252,251,126,615.436791690487
241549.10633747,2513747.81202840,253,254,127,1768.12938198856
241549.10633747,2513747.81202840,253,246,18049,16.5427891744256
239853.60860507,2514247.39076175,254,253,127,1768.12938198856
239853.60860507,2514247.39076175,254,258,129,642.811711624375
239853.60860507,2514247.39076175,254,261,132,636.83132660458
234537.19052742,2514301.81601070,256,210,128,20212.0663794492
234537.19052742,2514301.81601070,256,279,18052,40.7704497092408
239245.06409393,2514446.05480377,258,254,129,642.811711624375
239245.06409393,2514446.05480377,258,260,130,8.97003629412735
239245.06409393,2514446.05480377,258,261,131,25.0255629368531
239237.14430766,2514449.99101951,260,258,130,8.97003629412735
239237.14430766,2514449.99101951,260,268,134,18.7381152967635
239237.14430766,2514449.99101951,260,299,151,1441.23837154352
239260.11214598,2514461.59796146,261,258,131,25.0255629368531
239260.11214598,2514461.59796146,261,254,132,636.83132660458
239260.11214598,2514461.59796146,261,265,133,6.00853953420907
239257.80170514,2514467.14452891,265,261,133,6.00853953420907
239257.80170514,2514467.14452891,265,272,137,18.2706267767305
239257.80170514,2514467.14452891,265,276,139,76.3671372851043
239235.91889050,2514467.27542977,268,260,134,18.7381152967635
239235.91889050,2514467.27542977,268,270,135,4.68148282831512
239239.30480396,2514470.50836520,270,268,135,4.68148282831512
239239.30480396,2514470.50836520,270,272,136,2.41757492172403
239239.30480396,2514470.50836520,270,305,154,1435.11814032044
239241.43177784,2514471.65756084,272,270,136,2.41757492172403
239241.43177784,2514471.65756084,272,265,137,18.2706267767305
239241.43177784,2514471.65756084,272,276,138,68.6093788487922
239234.81935560,2514539.93805841,276,272,138,68.6093788487922
239234.81935560,2514539.93805841,276,265,139,76.3671372851043
239234.81935560,2514539.93805841,276,424,212,2929.96612851282
234577.91326478,2514303.78787057,279,280,140,1138.19126572021
234577.91326478,2514303.78787057,279,256,18052,40.7704497092408
235677.05915203,2514591.05733132,280,279,140,1138.19126572021
235677.05915203,2514591.05733132,280,284,142,728.582688649402
235677.05915203,2514591.05733132,280,338,169,1392.86342349129
234074.61686816,2505489.63940607,281,282,141,9674.12484504419
234074.61686816,2505489.63940607,281,134,18047,24.3419149160059
236890.65411883,2514636.64768279,282,281,141,9674.12484504419
236890.65411883,2514636.64768279,282,286,143,7.78731370611237
236890.65411883,2514636.64768279,282,290,145,365.467899592595
236890.65411883,2514636.64768279,282,299,150,1102.20878343844
236373.60015043,2514623.02950467,284,280,142,728.582688649402
236373.60015043,2514623.02950467,284,290,146,177.941481058868
236373.60015043,2514623.02950467,284,294,149,187.797741334596
236888.32568711,2514644.07874331,286,282,143,7.78731370611237
236888.32568711,2514644.07874331,286,288,144,7.86715686301468
236888.32568711,2514644.07874331,286,294,148,357.656813271306
236895.77090939,2514646.62055807,288,286,144,7.86715686301468
236895.77090939,2514646.62055807,288,310,155,1094.73196892067
236895.77090939,2514646.62055807,288,326,163,476.148822074037
236533.89011242,2514684.78971184,290,282,145,365.467899592595
236533.89011242,2514684.78971184,290,284,146,177.941481058868
236533.89011242,2514684.78971184,290,294,147,8.56282578091214
236539.20770565,2514691.50128301,294,290,147,8.56282578091214
236539.20770565,2514691.50128301,294,286,148,357.656813271306
236539.20770565,2514691.50128301,294,284,149,187.797741334596
236539.20770565,2514691.50128301,294,338,170,736.485361017316
237907.17447027,2514969.06683276,299,282,150,1102.20878343844
237907.17447027,2514969.06683276,299,260,151,1441.23837154352
237907.17447027,2514969.06683276,299,304,152,29.0351876141597
237907.17447027,2514969.06683276,299,305,153,26.9202549111517
237893.58917234,2514987.80533339,304,299,152,29.0351876141597
237893.58917234,2514987.80533339,304,310,156,4.30776833224452
237913.76815741,2514990.23921300,305,299,153,26.9202549111517
237913.76815741,2514990.23921300,305,270,154,1435.11814032044
237913.76815741,2514990.23921300,305,313,157,4.30278295224689
237896.35968393,2514991.10398971,310,288,155,1094.73196892067
237896.35968393,2514991.10398971,310,304,156,4.30776833224452
237896.35968393,2514991.10398971,310,313,158,14.7846946156007
237896.35968393,2514991.10398971,310,317,159,23.3441501346955
237910.29640118,2514992.78103318,313,305,157,4.30278295224689
237910.29640118,2514992.78103318,313,310,158,14.7846946156007
237910.29640118,2514992.78103318,313,317,160,30.3869171596862
237886.49619068,2515011.67321978,317,310,159,23.3441501346955
237886.49619068,2515011.67321978,317,313,160,30.3869171596862
237886.49619068,2515011.67321978,317,321,161,225.895244086658
237686.03986381,2515109.49926654,321,317,161,225.895244086658
237686.03986381,2515109.49926654,321,324,162,436.946818896455
237686.03986381,2515109.49926654,321,329,165,111.718694849441
237251.03035604,2515111.71478342,324,321,162,436.946818896455
237251.03035604,2515111.71478342,324,326,164,315.571819711415
237251.03035604,2515111.71478342,324,331,166,210.682255062159
236943.14307122,2515119.28066747,326,288,163,476.148822074037
236943.14307122,2515119.28066747,326,324,164,315.571819711415
236943.14307122,2515119.28066747,326,342,171,247.773179489944
237601.73142375,2515176.39438503,329,321,165,111.718694849441
237601.73142375,2515176.39438503,329,331,167,324.144349157617
237601.73142375,2515176.39438503,329,349,175,403.629053705345
237315.13963613,2515310.55937642,331,324,166,210.682255062159
237315.13963613,2515310.55937642,331,329,167,324.144349157617
237315.13963613,2515310.55937642,331,342,172,338.471338768936
237315.13963613,2515310.55937642,331,359,180,487.820329793033
219678.83789046,2515316.47911761,335,225,168,4649.80818608652
219678.83789046,2515316.47911761,335,351,177,278.525092066362
236808.34947425,2515361.19754938,338,280,169,1392.86342349129
236808.34947425,2515361.19754938,338,294,170,736.485361017316
236808.34947425,2515361.19754938,338,346,174,180.531000333417
236808.34947425,2515361.19754938,338,362,181,358.884688327456
236984.12321864,2515363.63356802,342,326,171,247.773179489944
236984.12321864,2515363.63356802,342,331,172,338.471338768936
236984.12321864,2515363.63356802,342,346,173,8.20659117180944
236985.58872823,2515371.70824574,346,342,173,8.20659117180944
236985.58872823,2515371.70824574,346,338,174,180.531000333417
236985.58872823,2515371.70824574,346,364,182,382.548925041033
237624.02445038,2515574.04943031,349,329,175,403.629053705345
237624.02445038,2515574.04943031,349,374,188,323.207626859062
219648.85729724,2515593.27762610,351,352,176,2721.35215703427
219648.85729724,2515593.27762610,351,335,177,278.525092066362
219648.85729724,2515593.27762610,351,356,179,14.1211601106021
219648.85729724,2515593.27762610,351,495,248,3081.29152018295
217588.68879801,2513817.06983536,352,351,176,2721.35215703427
217588.68879801,2513817.06983536,352,247,18050,38.1606779926049
217579.61507188,2513825.11760983,355,356,178,2730.4032461894
217579.61507188,2513825.11760983,355,250,18051,37.3763951344743
219646.65712843,2515607.22633285,356,355,178,2730.4032461894
219646.65712843,2515607.22633285,356,351,179,14.1211601106021
219646.65712843,2515607.22633285,356,380,190,222.11794651497
219646.65712843,2515607.22633285,356,498,249,3065.70220885984
237161.36183142,2515710.47864016,359,331,180,487.820329793033
237161.36183142,2515710.47864016,359,364,183,50.2221687836733
237161.36183142,2515710.47864016,359,372,186,88.2935020092955
236829.32718089,2515713.65619634,362,338,181,358.884688327456
236829.32718089,2515713.65619634,362,368,184,258.504885889379
236829.32718089,2515713.65619634,362,378,189,108.254127861494
237112.76734611,2515722.60908314,364,346,182,382.548925041033
237112.76734611,2515722.60908314,364,359,183,50.2221687836733
237112.76734611,2515722.60908314,364,368,185,25.9123854652638
237087.43135487,2515728.04408715,368,362,184,258.504885889379
237087.43135487,2515728.04408715,368,364,185,25.9123854652638
237087.43135487,2515728.04408715,368,382,192,127.015063380791
237215.94835244,2515758.44631748,372,359,186,88.2935020092955
237215.94835244,2515758.44631748,372,374,187,201.097778924302
237215.94835244,2515758.44631748,372,387,194,334.391744394318
237414.94297181,2515771.37817737,374,372,187,201.097778924302
237414.94297181,2515771.37817737,374,349,188,323.207626859062
237414.94297181,2515771.37817737,374,393,198,963.841008553725
236800.36896059,2515817.52902538,378,362,189,108.254127861494
236800.36896059,2515817.52902538,378,382,191,281.888407100565
236800.36896059,2515817.52902538,378,404,202,780.719180253074
219625.84788718,2515828.17910262,380,356,190,222.11794651497
237063.23039695,2515852.73225805,382,378,191,281.888407100565
237063.23039695,2515852.73225805,382,368,192,127.015063380791
237063.23039695,2515852.73225805,382,386,193,107.333594379693
237065.04766441,2515957.92327086,386,382,193,107.333594379693
237065.04766441,2515957.92327086,386,390,195,136.680773077581
237065.04766441,2515957.92327086,386,402,201,523.14720247348
237374.37958672,2516033.88130514,387,372,194,334.391744394318
237374.37958672,2516033.88130514,387,390,196,217.234936331227
237374.37958672,2516033.88130514,387,393,197,288.968371737792
237158.50007602,2516057.23208656,390,386,195,136.680773077581
237158.50007602,2516057.23208656,390,387,196,217.234936331227
237158.50007602,2516057.23208656,390,408,205,424.969998883761
237578.75084300,2516208.63281526,393,387,197,288.968371737792
237578.75084300,2516208.63281526,393,374,198,963.841008553725
237578.75084300,2516208.63281526,393,398,199,195.22069953963
237473.56464056,2516345.28783882,398,393,199,195.22069953963
237473.56464056,2516345.28783882,398,400,200,22.3898855205005
237473.56464056,2516345.28783882,398,408,206,414.755815503484
237495.94288178,2516346.00984557,400,398,200,22.3898855205005
237495.94288178,2516346.00984557,400,421,211,922.129080666962
236782.42444707,2516392.33113034,402,386,201,523.14720247348
236782.42444707,2516392.33113034,402,404,203,88.3915243219912
236782.42444707,2516392.33113034,402,408,204,329.315877491546
236694.87056334,2516399.33086699,404,378,202,780.719180253074
236694.87056334,2516399.33086699,404,402,203,88.3915243219912
236694.87056334,2516399.33086699,404,413,207,5161.04840285552
237105.40040951,2516448.69995508,408,402,204,329.315877491546
237105.40040951,2516448.69995508,408,390,205,424.969998883761
237105.40040951,2516448.69995508,408,398,206,414.755815503484
237105.40040951,2516448.69995508,408,419,210,613.009857441572
232140.22983897,2515292.91281999,413,404,207,5161.04840285552
226868.24157012,2515624.81503932,415,416,208,1445.11120027936
227836.32103899,2516688.72029674,416,415,208,1445.11120027936
227836.32103899,2516688.72029674,416,425,213,608.889145329171
246858.94701096,2516622.35858337,417,418,209,583.876026580168
247365.64135965,2516856.33794986,418,417,209,583.876026580168
236923.34690394,2517000.73049185,419,408,210,613.009857441572
236923.34690394,2517000.73049185,419,490,245,709.380743171674
238021.05388761,2517062.25458392,421,400,211,922.129080666962
238021.05388761,2517062.25458392,421,429,215,151.273153327524
238021.05388761,2517062.25458392,421,436,218,150.862049149978
238441.47285910,2517111.48677895,424,276,212,2929.96612851282
238441.47285910,2517111.48677895,424,431,217,352.344452628857
238441.47285910,2517111.48677895,424,445,224,348.967460079436
228272.48728183,2517112.65887267,425,416,213,608.889145329171
228272.48728183,2517112.65887267,425,427,214,3987.57911090308
228272.48728183,2517112.65887267,425,518,259,1657.11239692966
226956.64127674,2513819.45031916,427,425,214,3987.57911090308
238095.14961719,2517193.13747541,429,421,215,151.273153327524
